%
%
% ent dat.name dat.joined dat.species dat.coloring dat.gender dat.birthday dat.age dat.hometown dat.favorite_toy dat.favorite_activity dat.favorite_food
"1379" "Peanut" "July 12, 2006" "Hamster (Teddy Bear)" "Golden Banded" "Female" "April 1, 2006" "Gone to Hamster Heaven" "Hoboken, NJ&nbsp; United States" "Her wheel" "Her wheel" "Raisins and seeds"
"1380" "Uncle Blue" "July 17, 2006" "Hamster (Syrian)" "Cinnamon Banded" "Male" "July 1, 2005" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "his wheel" "his wheel" "sunflower seeds"
"1381" "Thor" "July 17, 2006" "Hamster (Syrian)" "Mottled" "Male" "January 1, 2005" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "New York, NY&nbsp; United States" "New York, NY&nbsp; United States" "raisins"
"1382" "Whale" "July 17, 2006" "Hamster (Dwarf)" "Grey" "Female" "June 1, 2005" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "remote control" "remote control" "everything"
"1383" "Killer" "July 17, 2006" "Hamster (Dwarf)" "Grey" "Female" "June 1, 2005" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "New York, NY&nbsp; United States" "New York, NY&nbsp; United States" "papaya snacks"
"1384" "Sinead" "July 17, 2006" "Hamster (Dwarf)" "Grey" "Female" "June 1, 2005" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "her wheel" "her wheel" "sunflower seeds"
"1385" "Mathilda" "July 17, 2006" "Hamster (Dwarf)" "Beige" "Female" "September 1, 2004" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "the table" "the table" "my sofa"
"1386" "Berta" "July 17, 2006" "Hamster (Unknown)" "Black" "Female" "June 1, 2004" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "Toilet paper tubes" "Toilet paper tubes" "Cheerios"
"1387" "Kaiser Wilhelm" "July 17, 2006" "Hamster (Teddy Bear)" "Golden Banded" "Male" "August 1, 2003" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "wood blocks" "wood blocks" "Carrots"
"1388" "Lovey" "September 6, 2006" "Hamster (Syrian)" "Golden" "Female" "November 1, 2005" "Gone to Hamster Heaven" "Staten Island, NY&nbsp; United States" "Staten Island, NY&nbsp; United States" "Staten Island, NY&nbsp; United States" "Vita Stick"
"1389" "Tina" "December 21, 2006" "Hamster (Common)" "Brown" "Female" "January 7, 2003" "Gone to Hamster Heaven" "San Diego, CA&nbsp; United States" "tungle rope" "tungle rope" "sunflower seeds"
"1390" "Hamster" "August 6, 2006" "Hamster (Dwarf)" "White" "Female" "November 1, 2005" "Gone to Hamster Heaven" "Singapore,  Singapore" "The wheel" "The wheel" "Melon seeds!"
"1391" "Brownie" "July 13, 2006" "Hamster (Teddy Bear)" "Golden Banded" "Female" "April 2, 2006" "Gone to Hamster Heaven" "Santa Rosa, CA&nbsp; United States" "The Wheel goes 'round" "The Wheel goes 'round" "Lettuce"
"1392" "Percival" "July 13, 2006" "Hamster (Russian)" "Agouti" "Male" "February 1, 2003" "Gone to Hamster Heaven" "Chestnut Hill Township, PA&nbsp; United States" "Wheel" "Wheel" "Hamster Fiesta"
"1393" "Muffin" "August 5, 2006" "Hamster (Dwarf)" "Grey" "Female" "June 22, 2006" "Gone to Hamster Heaven" "West Hills, CA&nbsp; United States" "Bars" "Bars" "Corn"
"1394" "Petite" "July 22, 2006" "Hamster (Dwarf)" "Black Banded" "Female" "June 1, 2005" "Gone to Hamster Heaven" "West Hills, CA&nbsp; United States" "Rope" "Rope" "Cheerios"
"1395" "Squirt" "August 15, 2006" "Hamster (Teddy Bear)" "Calico" "Female" "November 12, 2004" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "Her mini purple igloo" "Her mini purple igloo" "peanuts and yogies"
"1396" "Snowy" "August 18, 2006" "Hamster (Dwarf)" "Silver" "Male" "January 1, 2005" "Gone to Hamster Heaven" "Meriden, KS&nbsp; United States" "Wood chew blocks." "Wood chew blocks." "Various mixed together."
"1397" "Toasty" "August 7, 2006" "Hamster (Dwarf)" "White" "Female" "July 27, 2006" "Gone to Hamster Heaven" "Singapore,  Singapore" "Wheel" "Wheel" "Sunflower seeds"
"1398" "Teeter" "August 18, 2006" "Hamster (Dwarf)" "Smoke Pearl" "Male" "August 15, 2006" "66 months" "Orange County, CA&nbsp; United States" "Wheel thats like the only thing he knows how to do right noww" "Wheel thats like the only thing he knows how to do right noww" "hamster food"
"1399" "fufu" "August 6, 2006" "Hamster (Syrian)" "Golden" "Male" "February 1, 2005" "Gone to Hamster Heaven" "Singapore,  Singapore" "Singapore,  Singapore" "Singapore,  Singapore" "Singapore,  Singapore"
"1400" "Bibi" "August 6, 2006" "Hamster (Dwarf)" "Grey" "Male" "August 1, 2005" "Gone to Hamster Heaven" "Singapore,  Singapore" "water bottle" "water bottle" "water bottle"
"1401" "Jerry" "August 6, 2006" "Hamster (Roborovskii)" "Rust" "Female" "January 1, 2004" "Gone to Hamster Heaven" "Singapore,  Singapore" "Singapore,  Singapore" "Singapore,  Singapore" "Singapore,  Singapore"
"1402" "Koro" "July 13, 2006" "Hamster (Teddy Bear)" "White" "Male" "November 30, 2004" "Gone to Hamster Heaven" "Grand Ledge, MI&nbsp; United States" "Wheel" "Wheel" "Cherries"
"1403" "Koro" "July 21, 2006" "Hamster (Dwarf)" "Grey" "Male" "March 3, 2003" "Gone to Hamster Heaven" "OSAKA,  Japan" "OSAKA,  Japan" "OSAKA,  Japan" "Sunflower seeds"
"1404" "Galaxy" "July 14, 2006" "Hamster (Dwarf)" "Argente" "Male" "August 5, 2005" "Gone to Hamster Heaven" "Kenilworth, NJ&nbsp; United States" "cardboard boxes" "cardboard boxes" "sunflower seeds"
"1405" "Rupert" "July 14, 2006" "Hamster (Syrian)" "Golden Banded" "Male" "June 1, 2005" "Gone to Hamster Heaven" "Orlando, FL&nbsp; United States" "His large estate and hideaway..." "His large estate and hideaway..." "Sunflower Seeds"
"1406" "Blanche" "July 14, 2006" "Hamster (Unknown)" "Cinnamon" "Female" "March 2, 2006" "Gone to Hamster Heaven" "St. Louis, MO&nbsp; United States" "Wheel" "Wheel" "carrots"
"1407" "grasshopper" "September 17, 2006" "Hamster (Russian)" "Slate" "Male" "November 1, 2003" "Gone to Hamster Heaven" "San Jose, CA&nbsp; United States" "the wheel" "the wheel" "carrots"
"1408" "Strawberry Short Cake" "July 20, 2006" "Hamster (Roborovskii)" "Agouti" "Female" "April 2, 2006" "Gone to Hamster Heaven" "., TX&nbsp; United States" "., TX&nbsp; United States" "., TX&nbsp; United States" "sunflower seeds"
"1409" "Sugar" "July 20, 2006" "Hamster (Roborovskii)" "Agouti" "Female" "April 2, 2006" "Gone to Hamster Heaven" "., TX&nbsp; United States" "., TX&nbsp; United States" "., TX&nbsp; United States" "peanuts"
"1410" "Shadow" "July 18, 2006" "Hamster (Dwarf)" "Black Banded" "Female" "June 1, 2006" "Gone to Hamster Heaven" "Singapore,  Singapore" "wheel" "wheel" "white balls and sunflower seeds"
"1411" "Moonlight" "July 18, 2006" "Hamster (Dwarf)" "Sapphire" "Female" "June 1, 2006" "Gone to Hamster Heaven" "Singapore,  Singapore" "wheel" "wheel" "white balls and sunflower seeds"
"1412" "Sam Soon" "July 18, 2006" "Hamster (Dwarf)" "Agouti" "Male" "June 20, 2006" "Gone to Hamster Heaven" "!,  United States" "!,  United States" "!,  United States" "!,  United States"
"1413" "Petra" "August 24, 2006" "Hamster (Russian)" "Blue" "Female" "November 1, 2005" "Gone to Hamster Heaven" "Vienna, VA&nbsp; United States" "Hamster wheel" "Hamster wheel" "Peas, cheddar cheese, scrambled egg, carrots, cucumbers, lettuce, pumpkin seeds, sunflower seeds (the big ones from bags of squirrel food!) and the occasional tiny piece of chicken."
"1414" "Ashley" "August 8, 2006" "Hamster (Dwarf)" "Smoke Pearl" "Male" "June 10, 2005" "Gone to Hamster Heaven" "Minneapolis, MN&nbsp; United States" "Wheel" "Wheel" "Scooby Snacks"
"1415" "mei mei" "August 8, 2006" "Hamster (Russian)" "Black Banded" "Female" "June 7, 2006" "Gone to Hamster Heaven" "Singapore,  Singapore" "everything..including my owner's hands" "everything..including my owner's hands" "hamie treatz, hamie biscuits and hamie star"
"1416" "Flik" "September 16, 2006" "Hamster (Chinese)" "Agouti" "Male" "March 1, 2006" "Gone to Hamster Heaven" "Chestnut Hill Township, PA&nbsp; United States" "Climbing tube" "Climbing tube" "Honey balls"
"1417" "Darien" "September 15, 2006" "Hamster (Russian)" "Agouti" "Male" "February 1, 2003" "Gone to Hamster Heaven" "Chestnut Hill Township, PA&nbsp; United States" "The car" "The car" "Veggie-O's"
"1418" "Bob" "September 13, 2006" "Hamster (Chinese)" "Grey" "Male" "September 12, 2004" "Gone to Hamster Heaven" "Boston, MA&nbsp; United States" "Wheel" "Wheel" "Bananas"
"1419" "Mochi" "October 25, 2006" "Hamster (Dwarf)" "Pudding" "Male" "September 29, 2006" "Gone to Hamster Heaven" "Singapore,  Singapore" "His two sisters :P" "His two sisters :P" "Broccoli"
"1420" "Duchess of Tofu" "October 25, 2006" "Hamster (Dwarf)" "Brown" "Female" "September 29, 2006" "65 months" "Singapore,  Singapore" "My fingernails :s" "My fingernails :s" "I haven't discovered hers yet :P"
"1421" "Jana" "November 24, 2006" "Hamster (Chinese)" "Grey" "Female" "September 1, 2006" "65 months" "Kentwood, MI&nbsp; United States" "Petting Loft" "Petting Loft" "Sunflower seeds"
"1422" "Aura" "July 31, 2006" "Hamster (Siberian)" "Cream" "Female" "February 27, 2006" "Gone to Hamster Heaven" "Mansfield, CT&nbsp; United States" "tubes" "tubes" "watermelon"
"1423" "Babies" "July 31, 2006" "Hamster (Siberian)" "Cream" "Female" "July 15, 2006" "Gone to Hamster Heaven" "Mansfield, CT&nbsp; United States" "foods" "foods" "milk"
"1424" "Chela" "July 31, 2006" "Hamster (Syrian)" "Cream" "Male" "February 2, 2006" "Gone to Hamster Heaven" "Mansfield, CT&nbsp; United States" "bedding, i love to dig" "bedding, i love to dig" "broccoli"
"1425" "chanito" "December 20, 2006" "Hamster (Dwarf)" "Platinum" "Male" "November 1, 2006" "63 months" "Villahermosa, Tabasco,  Mexico" "her wheel" "her wheel" "mmm all?"
"1426" "dulce" "December 20, 2006" "Hamster (Dwarf)" "Agouti" "Female" "January 1, 2005" "Gone to Hamster Heaven" "Villahermosa, Tabasco,  Mexico" "everytihing to chew" "everytihing to chew" "sunflower seeds"
"1427" "nana" "December 20, 2006" "Hamster (Dwarf)" "White" "Female" "July 17, 2006" "Gone to Hamster Heaven" "Villahermosa, Tabasco,  Mexico" "food?" "food?" "sunflowers seeds"
"1428" "Bubba Moham" "December 2, 2006" "Hamster (Chinese)" "White" "Male" "July 27, 2006" "Gone to Hamster Heaven" "SIngapore,  Singapore" "ME!" "ME!" "Watermelon Seeds"
"1429" "Enrique Iglesias" "December 10, 2006" "Hamster (Syrian)" "Silver" "Male" "October 1, 2005" "Gone to Hamster Heaven" "Singapore,  Singapore" "Hamster Ball" "Hamster Ball" "Honey sticks"
"1430" "rascal" "October 4, 2006" "Hamster (Dwarf)" "Fawn" "Male" "August 15, 2006" "Gone to Hamster Heaven" "Allen, TX&nbsp; United States" "swing" "swing" "paypaya"
"1431" "Tarako" "October 25, 2006" "Hamster (Dwarf)" "Brown" "Female" "September 29, 2006" "65 months" "Singapore,  Singapore" "LOLO Lime, Popcorn flavour" "LOLO Lime, Popcorn flavour" "Broccoli and Apple Chips"
"1432" "Ginger Spot" "January 27, 2007" "Gerbil (Mongolian)" "Fawn" "Male" "October 28, 2005" "Gone to Gerbil Heaven" "Albuquerque, NM&nbsp; United States" "cardboard tubes" "cardboard tubes" "sunflower seeds"
"1433" "Salami" "January 26, 2007" "Hamster (Roborovskii)" "White" "Male" "November 10, 2006" "63 months" "Singapore,  Singapore" "He loves to munch on their litter box lid :s" "He loves to munch on their litter box lid :s" "Honey and Milk flavoured yoghurt drops."
"1434" "Sashimi" "January 26, 2007" "Hamster (Roborovskii)" "White" "Female" "November 10, 2006" "63 months" "Singapore,  Singapore" "Tissues" "Tissues" "Salmon and Cheese Jerky"
"1435" "Ginger" "April 5, 2007" "Hamster (Roborovskii)" "Agouti" "Female" "February 10, 2007" "60 months" "Manila,  Philippines" "Wheel" "Wheel" "Vitakraft"
"1436" "Ben" "December 3, 2006" "Hamster (Dwarf)" "Grey" "Male" "September 1, 2006" "65 months" "Poteet, TX&nbsp; United States" "Wheel" "Wheel" "Sunflower seeds"
"1437" "Tobu" "January 26, 2007" "Hamster (Syrian)" "Golden" "Male" "April 1, 2006" "Gone to Hamster Heaven" "Bowling Green, KY&nbsp; United States" "wood chews" "wood chews" "cheese flavored yogurt treats"
"1438" "Queen Elizabeth" "July 15, 2006" "Hamster (Dwarf)" "White" "Female" "July 1, 2006" "Gone to Hamster Heaven" "Fort Wayne, IN&nbsp; United States" "wheel" "wheel" "yogurt drops"
"1439" "Beck" "July 15, 2006" "Hamster (Syrian)" "Beige" "Male" "June 28, 2006" "Gone to Hamster Heaven" "Fort Wayne, IN&nbsp; United States" "The Wheel" "The Wheel" "Yogurt Drops"
"1440" "Ringo" "July 29, 2006" "Hamster (Teddy Bear)" "Grey" "Male" "May 1, 2005" "Gone to Hamster Heaven" "Gainesville, FL&nbsp; United States" "His clear pink running ball." "His clear pink running ball." "Fresh fruit and veggies - spinach, especially"
"1441" "Sprite" "August 9, 2006" "Hamster (Roborovskii)" "Grey" "Female" "August 1, 2005" "Gone to Hamster Heaven" "Singapore,  Singapore" "Singapore,  Singapore" "Singapore,  Singapore" "Sunflower seeds"
"1442" "Coke Lite" "August 9, 2006" "Hamster (Roborovskii)" "Grey" "Female" "August 1, 2005" "Gone to Hamster Heaven" "Singapore,  Singapore" "Singapore,  Singapore" "Singapore,  Singapore" "Sunflower seeds"
"1443" "Creme" "January 26, 2007" "Hamster (Syrian)" "Golden Banded" "Male" "January 1, 2005" "Gone to Hamster Heaven" "Cleveland, OH&nbsp; United States" "Cleveland, OH&nbsp; United States" "Cleveland, OH&nbsp; United States" "Seeds and Lettuce"
"1444" "Roxanne" "February 22, 2008" "Hamster (Dwarf)" "Brown" "Female" "February 11, 2007" "Gone to Hamster Heaven" "Pittsburgh, PA&nbsp; United States" "Pittsburgh, PA&nbsp; United States" "Pittsburgh, PA&nbsp; United States" "Yogurt Chips"
"1445" "Teddy" "January 27, 2008" "Hamster (Teddy Bear)" "Cinnamon Banded" "Male" "March 15, 2007" "Gone to Hamster Heaven" "Allen Park, MI&nbsp; United States" "toilet paper roll" "toilet paper roll" "honeycomb cereal"
"1446" "Nibbler" "January 2, 2008" "Hamster (Syrian)" "Cinnamon" "Male" "August 2, 2007" "Gone to Hamster Heaven" "Rockville, MD&nbsp; United States" "Igloo" "Igloo" "Tofu"
"1447" "Dobby" "February 24, 2008" "Hamster (Syrian)" "Golden Banded" "Female" "May 3, 2006" "Gone to Hamster Heaven" "Tupelo, Ms, MS&nbsp; United States" "plastic tubes or anything that doesn't move faster than her!" "plastic tubes or anything that doesn't move faster than her!" "yogurt drops, animal crackers, sunflower seeds, carrots"
"1448" "Snowball" "March 6, 2009" "Hamster (Dwarf)" "Brown" "Male" "November 4, 2007" "51 months" "Kuala Lumpur,  Malaysia" "ping-pong ball" "ping-pong ball" "sunflower seeds"
"1449" "Frosty" "March 6, 2009" "Hamster (Dwarf)" "Yellow" "Female" "August 15, 2008" "Gone to Hamster Heaven" "Kuala Lumpur,  Malaysia" "not sure..." "not sure..." "sunflower seeds"
"1450" "Goldie" "March 6, 2009" "Hamster (Dwarf)" "Yellow" "Male" "January 31, 2008" "49 months" "Kuala Lumpur,  Malaysia" "not sure...was adopted before i knew..." "not sure...was adopted before i knew..." "rabbit pellets"
"1451" "Snowfrost" "March 7, 2009" "Hamster (Dwarf)" "White" "Female" "January 31, 2008" "49 months" "Kuala Lumpur,  Malaysia" "adopted before before i knew..." "adopted before before i knew..." "sunflower seeds"
"1452" "Blackie" "March 7, 2009" "Hamster (Dwarf)" "Black" "Female" "January 31, 2008" "49 months" "Kuala Lumpur,  Malaysia" "adopted before i knew..." "adopted before i knew..." "seeds"
"1453" "Lori" "October 7, 2008" "Hamster (Russian)" "Brown" "Female" "July 1, 2007" "55 months" "Vilas, NC&nbsp; United States" "Small ball" "Small ball" "sunflower seeds with shell"
"1454" "Val" "October 7, 2008" "Hamster (Russian)" "Cream" "Male" "January 16, 2008" "Gone to Hamster Heaven" "Vilas, NC&nbsp; United States" "Nothing - too lazy to play" "Nothing - too lazy to play" "sunflower seeds with shell"
"1455" "Thumper's First Five" "October 7, 2008" "Hamster (Russian)" "Grey" "Female" "March 4, 2008" "47 months" "Vilas, NC&nbsp; United States" "the wheel" "the wheel" "sunflower seeds without the shell"
"1456" "Popover" "July 16, 2006" "Hamster (Teddy Bear)" "Beige" "Male" "February 7, 2006" "Gone to Hamster Heaven" "Minneapolis, MN&nbsp; United States" "Purple Plastic Igloo" "Purple Plastic Igloo" "Sunflower Seeds"
"1457" "Twinkie the Hamster" "July 16, 2006" "Hamster (Teddy Bear)" "Blonde" "Female" "July 11, 2005" "Gone to Hamster Heaven" "Cleveland, OH&nbsp; United States" "Wheel, and hanging play pen" "Wheel, and hanging play pen" "Eggs, yogurt, cereal, pasta, cheese, oatmeal, crackers, veggies, fruit, cake,"
"1458" "Frederick A. P. Barnard II" "September 6, 2006" "Hamster (Syrian)" "Cinnamon Banded" "Male" "April 1, 2004" "Gone to Hamster Heaven" "Hoboken, NJ&nbsp; United States" "Exercise ball, wheel(s), cage bars." "Exercise ball, wheel(s), cage bars." "Raisins, blueberries, cheese, PEOPLE FINGERS!"
"1459" "Ursa" "September 5, 2006" "Hamster (Teddy Bear)" "Black" "Female" "July 26, 2006" "Gone to Hamster Heaven" "Pittsburgh, PA&nbsp; United States" "Pittsburgh, PA&nbsp; United States" "Pittsburgh, PA&nbsp; United States" "Pittsburgh, PA&nbsp; United States"
"1460" "Hammy" "July 17, 2006" "Hamster (Common)" "Golden Banded" "Female" "February 1, 2006" "Gone to Hamster Heaven" "Columbus, OH&nbsp; United States" "Anything Plastic/wooden chewsticks" "Anything Plastic/wooden chewsticks" "almond slivers and yogurt drops"
"1461" "Sugar" "July 23, 2006" "Hamster (Common)" "Cinnamon Banded" "Female" "March 1, 2002" "Gone to Hamster Heaven" "Vienna, VA&nbsp; United States" "A bird mirror" "A bird mirror" "Coconut"
"1462" "Ruby" "July 20, 2006" "Hamster (Syrian)" "Golden Banded" "Female" "September 1, 2005" "Gone to Hamster Heaven" "Troy, VA&nbsp; United States" "cage bars" "cage bars" "pumpkin seeds"
"1463" "Boobsie" "July 22, 2006" "Hamster (Teddy Bear)" "Grey" "Male" "April 7, 2006" "Gone to Hamster Heaven" "Manila,  Philippines" "The Rotating Workstation" "The Rotating Workstation" "Pringles Cheese Flavor"
"1464" "Daisy" "November 7, 2009" "Hamster (Syrian)" "Golden" "Female" "February 5, 2009" "36 months" "Volos,  Greece" "Her cage or her wood carrot" "Her cage or her wood carrot" "sunflowers seed"
"1465" "Iggy Maxwell" "January 15, 2007" "Hamster (Syrian)" "Black" "Female" "February 1, 2006" "Gone to Hamster Heaven" "Portland, CT&nbsp; United States" "n/a" "n/a" "romaine lettuce, carrots, walnuts"
"1466" "Tolstoy" "March 26, 2007" "Hamster (Russian)" "Albino" "Male" "July 14, 2006" "Gone to Hamster Heaven" "Charlotte, NC&nbsp; United States" "Wheel, nibble sticks" "Wheel, nibble sticks" "Sunflower seeds"
"1467" "Chekhov" "March 26, 2007" "Hamster (Russian)" "Agouti" "Female" "October 19, 2006" "Gone to Hamster Heaven" "Charlotte, NC&nbsp; United States" "The bars of her cage! and her ball." "The bars of her cage! and her ball." "Anything seedy that she can spit out in her wheel, or Block [which she carries around like a dog with a bone]"
"1468" "Macchiato" "March 26, 2007" "Hamster (Russian)" "Argente" "Male" "February 14, 2006" "Gone to Hamster Heaven" "Charlotte, NC&nbsp; United States" "Wooden chews, nibblestix, toilet paper tubes" "Wooden chews, nibblestix, toilet paper tubes" "Everything.  He empties his dish quickly and hides it from me."
"1469" "Loki" "March 26, 2007" "Hamster (Russian)" "Albino" "Male" "February 20, 2007" "60 months" "Charlotte, NC&nbsp; United States" "My fingers, toilet paper tubes, wooden chew sticks, his wheel" "My fingers, toilet paper tubes, wooden chew sticks, his wheel" "Human flesh, Block, Sunflower seeds"
"1470" "Petit Four" "March 26, 2007" "Hamster (Siberian)" "Agouti" "Female" "February 1, 2007" "Gone to Hamster Heaven" "Charlotte, NC&nbsp; United States" "Her toilet paper tube, her igloo, and her ball" "Her toilet paper tube, her igloo, and her ball" "Peas and corn!"
"1471" "General Tso" "March 26, 2007" "Hamster (Chinese)" "Agouti" "Female" "February 1, 2007" "Gone to Hamster Heaven" "Charlotte, NC&nbsp; United States" "Her wheel" "Her wheel" "Anything seedy that she can spit out in her wheel at night!"
"1472" "Abby" "June 1, 2007" "Hamster (Syrian)" "Golden" "Female" "February 8, 2007" "60 months" "Warren, PA&nbsp; United States" "This tube I got for her" "This tube I got for her" "Hartz Bonanza blend"
"1473" "Horus" "July 19, 2006" "Hamster (Syrian)" "Honey" "Male" "March 11, 2006" "Gone to Hamster Heaven" "Dacono, CO&nbsp; United States" "The running wheel" "The running wheel" "Sunflower Seeds &amp; Almonds"
"1474" "Merry-san" "July 21, 2006" "Hamster (Dwarf)" "White" "Female" "August 1, 2005" "Gone to Hamster Heaven" "OSAKA,  Japan" "OSAKA,  Japan" "OSAKA,  Japan" "cucumber"
"1475" "Billie Jean" "June 15, 2009" "Hamster (Syrian)" "Agouti" "Male" "January 1, 2008" "49 months" "Broadripple, IN&nbsp; United States" "Well, he really doesn't like toys, lol =]" "Well, he really doesn't like toys, lol =]" "Corn"
"1476" "Flitzi" "July 22, 2006" "Hamster (Roborovskii)" "Fawn" "Female" "June 1, 2005" "Gone to Hamster Heaven" "Palaiseau,  France" "Spritzi" "Spritzi" "Apple"
"1477" "Skuzzball" "September 6, 2006" "Hamster (Teddy Bear)" "Cream" "Male" "July 12, 2006" "Gone to Hamster Heaven" "Toronto, ON&nbsp; Canada" "The wheel" "The wheel" "Broccoli"
"1478" "Smorez Marshmallow Jacoby" "July 22, 2006" "Hamster (Dwarf)" "Sable Banded" "Female" "August 30, 2005" "Gone to Hamster Heaven" "Allen, TX&nbsp; United States" "Purple light-up frog" "Purple light-up frog" "Peanut Butter and Tomatoes"
"1479" "Bigfoot" "July 25, 2006" "Hamster (Dwarf)" "Brown" "Male" "July 1, 2004" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States"
"1480" "Shadow" "July 25, 2006" "Hamster (Unknown)" "Black" "Male" "November 13, 2005" "Gone to Hamster Heaven" "Whitman, MA&nbsp; United States" "hamster ball" "hamster ball" "banana chips"
"1481" "Misty" "January 17, 2007" "Hamster (Teddy Bear)" "Smoke Pearl" "Female" "December 1, 2006" "62 months" "21136, MD&nbsp; United States" "TP Tube" "TP Tube" "I like to eat yogurt treats given to me by daddy!"
"1482" "Dora" "July 28, 2006" "Hamster (Dwarf)" "Black Banded" "Female" "June 17, 2005" "Gone to Hamster Heaven" "Boston, MA&nbsp; United States" "Ball" "Ball" "Dried Apricot"
"1483" "Mr. Ellie" "July 28, 2006" "Hamster (Teddy Bear)" "Fawn" "Male" "June 1, 2006" "Gone to Hamster Heaven" "Boston, MA&nbsp; United States" "Wheel" "Wheel" "Sunflower Seeds"
"1484" "Fifi" "April 5, 2009" "Hamster (Unknown)" "Grey" "Female" "October 5, 2007" "Gone to Hamster Heaven" "Penzance,  United Kingdom" "Hamster hamock &amp; rope ladder, Wheel &amp; ball" "Hamster hamock &amp; rope ladder, Wheel &amp; ball" "Fifi's favorite food is sunflower seeds, pasties &amp; sometimes fingers!"
"1485" "Peanut" "July 31, 2006" "Hamster (Syrian)" "Cinnamon Banded" "Male" "October 15, 2003" "Gone to Hamster Heaven" "Scotland,  United Kingdom" "Scotland,  United Kingdom" "Scotland,  United Kingdom" "Cheese"
"1486" "Teddy B" "August 1, 2006" "Hamster (Teddy Bear)" "Golden" "Female" "April 6, 2004" "Gone to Hamster Heaven" "Oconomowoc, WI&nbsp; United States" "her car and her wood house" "her car and her wood house" "Yogurt Yogies"
"1487" "Popopipi" "March 30, 2007" "Hamster (Russian)" "Agouti" "Male" "October 31, 2006" "64 months" "Juarez,  Mexico" "chuchi" "chuchi" "todo"
"1488" "Peaches" "August 1, 2006" "Hamster (Syrian)" "Cinnamon Banded" "Female" "August 1, 2005" "Gone to Hamster Heaven" "Bellingham, WA&nbsp; United States" "Wheel" "Wheel" "Banana Chip"
"1489" "Martin (R.I.P)" "March 26, 2007" "Hamster (Teddy Bear)" "Black" "Male" "November 8, 2006" "63 months" "Winston-salem, NC&nbsp; United States" "books .... that he can chew on" "books .... that he can chew on" "sunflower seeds"
"1490" "mini" "August 29, 2007" "Hamster (Roborovskii)" "Beige" "Male" "August 9, 2007" "54 months" "Singapore,  Singapore" "toliet roll" "toliet roll" "toliet roll"
"1491" "Mormor and Horhor" "July 29, 2007" "Hamster (Common)" "Grey" "Male" "July 10, 2007" "55 months" "Singapore,  Singapore" "Tv House" "Tv House" "Apples"
"1492" "Stormy" "July 19, 2011" "Hamster (Roborovskii)" "White" "Male" "April 23, 2011" "10 months" "Canonsburg, PA&nbsp; United States" "Corn Cobs" "Corn Cobs" "Yogurt Drops, Papaya bits, corn, and millet."
"1493" "Speedy" "September 3, 2008" "Hamster (Dwarf)" "Grey" "Male" "September 14, 2007" "Gone to Hamster Heaven" "Singapore,  Singapore" "Tunnel" "Tunnel" "star star"
"1494" "Ah Fat" "September 3, 2008" "Hamster (Dwarf)" "Grey" "Female" "September 14, 2007" "53 months" "Singapore,  Singapore" "cotton ball" "cotton ball" "star star"
"1495" "Scarlett Johamster" "August 6, 2006" "Hamster (Dwarf)" "Opal" "Female" "January 1, 2006" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "Silent Spinner Wheel" "Silent Spinner Wheel" "Anything hideable"
"1496" "Lucy" "October 22, 2006" "Hamster (Dwarf)" "Brown" "Female" "May 1, 2006" "Gone to Hamster Heaven" "San Francisco, CA&nbsp; United States" "Silent Spinner Wheel" "Silent Spinner Wheel" "Seeds"
"1497" "Pepper" "October 22, 2006" "Hamster (Dwarf)" "Brown" "Male" "May 1, 2006" "Gone to Hamster Heaven" "San Francisco, CA&nbsp; United States" "Silent Spinner wheel" "Silent Spinner wheel" "Seeds"
"1498" "Salt" "October 22, 2006" "Hamster (Dwarf)" "Mottled" "Male" "May 1, 2006" "Gone to Hamster Heaven" "San Francisco, CA&nbsp; United States" "Silent Spinner wheel" "Silent Spinner wheel" "Seeds"
"1499" "Sophie" "October 22, 2006" "Hamster (Dwarf)" "Brown" "Female" "January 1, 2006" "Gone to Hamster Heaven" "San Francisco, CA&nbsp; United States" "San Francisco, CA&nbsp; United States" "San Francisco, CA&nbsp; United States" "San Francisco, CA&nbsp; United States"
"1500" "Chuck Norris" "October 16, 2006" "Hamster (Teddy Bear)" "Golden Banded" "Male" "July 4, 2006" "Gone to Hamster Heaven" "Lakewood, CO&nbsp; United States" "Tiki Hut" "Tiki Hut" "goldfish crackers and peanut butter on fingers"
"1501" "Polly Kronopolis" "October 17, 2006" "Hamster (Teddy Bear)" "Cream" "Male" "August 3, 2006" "66 months" "Lakewood, CO&nbsp; United States" "the wheel and tiki hut" "the wheel and tiki hut" "pumpkin seeds"
